영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점
스마일 2,롯데컬처웍스(주)롯데엔터테인먼트,2024,10,549,2518.0,공포(호러),청소년관람불가,8.19,7.14
더 킬러스,주식회사 루믹스미디어,2024,10,108,2517.0,드라마,청소년관람불가,7.94,6.14
인사이드 아웃 2,월트디즈니컴퍼니코리아 유한책임회사,2024,6,"2,619",2512.0,애니메이션,전체관람가,8.53,8.4
애시드 레인: 죽음의 비,(주)디스테이션,2024,11,48,2508.0,기타,15세이상관람가,8.92,7.29
세상 참 예쁜 오드리,"주식회사 콘텐츠존,(주)다자인소프트",2024,10,172,2449.0,가족,12세이상관람가,7.84,5.5
하우치,주식회사 제이씨엔터웍스,2024,11,50,2383.0,멜로/로맨스,15세이상관람가,7.67,6.5
복수는 나의것,(주)피터팬픽쳐스,2024,11,14,2089.0,범죄,청소년관람불가,7.36,7.0
"럭키, 아파트",㈜인디스토리,2024,10,40,2035.0,드라마,15세이상관람가,8.5,7.4
소풍,롯데컬처웍스(주)롯데엔터테인먼트,2024,2,729,2017.0,드라마,12세이상관람가,8.56,6.0
극장총집편 봇치 더 록! 후편,씨제이 씨지브이(CJ CGV)(주),2024,9,183,1996.0,애니메이션,전체관람가,8.29,5.5
"침몰 10년, 제로썸",한국스마트협동조합,2024,11,3,1877.0,다큐멘터리,12세이상관람가,5.52,5.5
장손,㈜인디스토리,2024,9,60,1808.0,가족,12세이상관람가,5.59,3.5
파일럿,롯데컬처웍스(주)롯데엔터테인먼트,2024,7,"1,956",1769.0,코미디,12세이상관람가,8.12,6.0
위대한 부재,판씨네마(주),2024,11,28,1563.0,드라마,15세이상관람가,6.95,5.0
블루 자이언트,판씨네마(주),2023,10,574,1448.0,애니메이션,12세이상관람가,7.7,
더러운 돈에 손대지 마라,(주)에이스메이커무비웍스,2024,10,796,1439.0,범죄,15세이상관람가,9.26,4.0
씨앗의 시간,필름다빈,2024,11,13,1410.0,다큐멘터리,전체관람가,6.48,4.33
폭설,판씨네마(주),2024,10,113,1369.0,드라마,15세이상관람가,7.88,
요루시카 '달과 고양이의 댄스' 2024 라이브,씨제이 씨지브이(CJ CGV)(주),2024,11,3,1342.0,공연,전체관람가,8.25,6.0
블링크 트와이스,워너브러더스 코리아(주),2024,11,87,1299.0,드라마,청소년관람불가,9.25,7.67
그녀에게,영화로운 형제,2024,9,148,1291.0,드라마,12세이상관람가,7.73,6.0
엘스타 2 : 드리미 스테이지,씨제이 씨지브이(CJ CGV)(주),2024,11,15,1187.0,애니메이션,전체관람가,6.13,4.67
프리다. 삶이여 영원하라,일미디어,2024,11,15,1095.0,다큐멘터리,12세이상관람가,,6.5
킹 오브 프리즘 -드라마틱 프리즘.1-,동우에이앤이(주),2024,8,59,1088.0,애니메이션,전체관람가,8.3,6.5
자기만의 방,(주)씨네필운,2024,11,27,1007.0,가족,12세이상관람가,7.96,6.43
"안녕, 할부지",(주)바른손이앤에이,2024,9,"1,021",944.0,다큐멘터리,전체관람가,6.39,5.0
빅토리,(주)마인드마크,2024,8,789,786.0,드라마,12세이상관람가,7.42,6.0
조커: 폴리 아 되,워너브러더스 코리아(주),2024,10,"1,385",745.0,범죄,15세이상관람가,7.47,7.0
호랑님의 생일날,(주)니즈텔레콤,2024,10,1,699.0,기타,전체관람가,4.83,
열 개의 우물,감 픽쳐스,2024,10,11,697.0,다큐멘터리,12세이상관람가,7.05,5.0
아가미,영화로운 형제,2024,11,22,695.0,가족,15세이상관람가,9.33,
키타로 탄생 게게게의 수수께끼: 트루 에디션,(주)디스테이션,2024,10,38,678.0,애니메이션,15세이상관람가,8.82,8.13
"뉴클래식 프로젝트 미안하다, 사랑한다",씨제이 씨지브이(CJ CGV)(주),2024,11,7,676.0,멜로/로맨스,15세이상관람가,,
극장판 블루 록 -에피소드 나기-,씨제이 씨지브이(CJ CGV)(주),2024,8,276,674.0,애니메이션,12세이상관람가,8.19,7.25
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,(주)메리크리스마스,2024,10,87,652.0,드라마,15세이상관람가,6.51,6.0
딸에 대하여,"찬란,스튜디오 에이드",2024,9,106,609.0,드라마,12세이상관람가,6.53,5.0
퍼펙트 데이즈,(주)티캐스트,2024,7,137,582.0,드라마,12세이상관람가,7.54,5.0
"극장판 포켓몬스터: 정글의 아이, 코코",(주)넥스트엔터테인먼트월드(NEW),2021,9,699.0,,애니메이션,전체관람가,7.17,6.22
극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,(주)씨제이이엔엠,2021,9,593.0,,애니메이션,전체관람가,8.45,7.6
맨 인 더 다크 2,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021,9,248.0,,공포(호러),청소년관람불가,9.13,
코다,판씨네마(주),2021,8,308.0,,드라마,12세이상관람가,10.0,
캔디맨,유니버설픽쳐스인터내셔널 코리아(유),2021,9,608.0,,미스터리,15세이상관람가,8.54,5.38
말리그넌트,워너브러더스 코리아(주),2021,9,489.0,,스릴러,청소년관람불가,8.06,5.8
건파우더 밀크셰이크,(주)씨제이이엔엠,2021,9,542.0,,액션,청소년관람불가,7.65,5.5
잔나비 판타스틱 올드패션드 리턴즈! x 넌센스 Ⅱ,CGV ICECON,2021,9,66.0,,공연,전체관람가,6.75,5.67
리스펙트,유니버설픽쳐스인터내셔널 코리아(유),2021,9,119.0,,드라마,12세이상관람가,8.89,6.0
여름날 우리,"찬란,메가박스중앙(주)",2021,8,262.0,,코미디,12세이상관람가,8.57,5.5
뱅드림! 로젤리아 에피소드 Ⅱ : 송 아이 엠,(주)애니플러스,2021,9,86.0,,애니메이션,전체관람가,7.45,5.0
귀문,"씨제이 씨지브이(CJ CGV)(주),(주)씨네필운",2021,8,692.0,,미스터리,15세이상관람가,8.65,6.6
좋은 사람,"(주)싸이더스,찬란",2021,9,140.0,,미스터리,12세이상관람가,6.67,6.25
최선의 삶,(주)엣나인필름,2021,9,101.0,,드라마,15세이상관람가,8.17,5.0
퍼피 구조대 더 무비,롯데컬처웍스(주)롯데엔터테인먼트,2021,8,355.0,,애니메이션,전체관람가,7.67,6.0
프리 가이,월트디즈니컴퍼니코리아 유한책임회사,2021,8,750.0,,액션,12세이상관람가,,5.0
용과 주근깨 공주,와이드 릴리즈(주),2021,9,216.0,,애니메이션,전체관람가,7.23,6.0
아임 유어 맨,(주)라이크콘텐츠,2021,9,38.0,,코미디,15세이상관람가,8.15,6.56
스피릿,유니버설픽쳐스인터내셔널 코리아(유),2021,9,138.0,,애니메이션,전체관람가,9.4,
수색자,(주)콘텐츠판다,2021,9,218.0,,스릴러,15세이상관람가,7.79,4.75
토베 얀손,(주)영화사 진진,2021,9,38.0,,드라마,15세이상관람가,7.55,7.0
올드,유니버설픽쳐스인터내셔널 코리아(유),2021,8,550.0,,공포(호러),12세이상관람가,7.55,
슈퍼문,예지림엔터테인먼트,2021,9,200.0,,애니메이션,전체관람가,8.36,7.0
내가 날 부를 때,(주)영화특별시에스엠씨,2021,9,97.0,,드라마,12세이상관람가,9.71,6.0
극장판 마이 리틀 포니: 새로운 희망,(주)박수엔터테인먼트,2021,9,155.0,,애니메이션,전체관람가,9.69,5.0
상견니,오드,2021,8,99.0,,드라마,12세이상관람가,7.59,6.0
아-하: 테이크 온 미,주식회사 컨텐츠썬,2021,9,53.0,,다큐멘터리,12세이상관람가,9.5,6.0
종착역,필름다빈,2021,9,49.0,,드라마,전체관람가,9.78,6.5
정글 크루즈,월트디즈니컴퍼니코리아 유한책임회사,2021,7,831.0,,액션,12세이상관람가,,
바쿠라우,(주)영화사 진진,2021,9,25.0,,미스터리,청소년관람불가,7.68,5.67
상견니 대만판 13화,오드,2021,9,88.0,,드라마,12세이상관람가,7.53,4.0
사운드 오브 데스,(주)태양미디어그룹,2021,9,21.0,,범죄,청소년관람불가,,
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람,(주)애니플러스,2021,8,44.0,,애니메이션,15세이상관람가,7.1,5.5
그린 나이트,(주)팝엔터테인먼트,2021,8,235.0,,어드벤처,15세이상관람가,7.32,7.67
나의 흑역사 로맨티카,"그린나래미디어(주),(주)인터파크",2021,9,41.0,,멜로/로맨스,12세이상관람가,8.4,6.91
습도 다소 높음,(주)스튜디오디에이치엘,2021,9,51.0,,코미디,15세이상관람가,4.71,6.5
코드 카림,(주)월드시네마,2021,8,21.0,,액션,15세이상관람가,7.41,6.67
쇼미더고스트,㈜인디스토리,2021,9,43.0,,코미디,12세이상관람가,8.8,8.43
어시스턴트,(주)이놀미디어,2021,9,28.0,,드라마,12세이상관람가,8.72,6.5
꽃다발 같은 사랑을 했다,"(주)리틀빅픽쳐스,(주)레드로버",2021,7,198.0,,멜로/로맨스,12세이상관람가,8.74,
학교 가는 길,(주)영화사 진진,2021,5,90.0,,다큐멘터리,12세이상관람가,9.17,4.0
영화의 거리,영화배급협동조합 씨네소파,2021,9,26.0,,멜로/로맨스,12세이상관람가,6.79,5.2
다이노 마이 프렌드,(주)박수엔터테인먼트,2021,8,185.0,,애니메이션,전체관람가,8.31,6.8
죽을 때까지,(주)제이앤씨미디어그룹,2021,9,53.0,,스릴러,청소년관람불가,7.25,5.0
자마,M&M 인터내셔널,2021,8,34.0,,드라마,15세이상관람가,6.33,6.0
남색대문,오드,2021,8,79.0,834.0,드라마,12세이상관람가,5.43,4.0
방법: 재차의,(주)씨제이이엔엠,2021,7,838.0,832.0,미스터리,15세이상관람가,8.0,8.4
레미니센스,워너브러더스 코리아(주),2021,8,548.0,818.0,SF,12세이상관람가,0.0,
그대 너머에,농부영화사,2021,9,12.0,793.0,멜로/로맨스,전체관람가,8.36,6.0
박강아름 결혼하다,(주)영화사 진진,2021,8,32.0,741.0,다큐멘터리,전체관람가,5.86,5.0
도라에몽: 스탠바이미 2,(주)스마일이엔티,2021,5,631.0,733.0,애니메이션,전체관람가,8.74,6.67
코끼리와 나비,(주)스튜디오 보난자,2021,9,27.0,673.0,드라마,전체관람가,7.29,6.0
아리아 : 더 크레푸스콜로,(주)얼리버드픽쳐스,2021,9,42.0,660.0,애니메이션,전체관람가,4.8,3.0
미켈란젤로,(주)퍼스트런,2021,9,20.0,644.0,드라마,12세이상관람가,7.71,7.17
꿈꾸는 고양이,아이 엠,2021,9,19.0,628.0,다큐멘터리,전체관람가,6.0,
아담,시네마 뉴원,2021,8,29.0,611.0,드라마,12세이상관람가,6.0,
공작조: 현애지상,(주)제이앤씨미디어그룹,2021,9,46.0,595.0,액션,15세이상관람가,10.0,
켈리 갱,오드,2021,8,9.0,519.0,범죄,15세이상관람가,7.21,
아들의 이름으로,(주)엣나인필름,2021,5,423.0,500.0,드라마,12세이상관람가,9.14,7.31
킬러의 보디가드 2: 킬러의 와이프,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2021,8,30.0,483.0,액션,15세이상관람가,9.16,5.5
스네이크 아이즈: 지.아이.조,롯데컬처웍스(주)롯데엔터테인먼트,2021,9,23.0,482.0,액션,15세이상관람가,,
로빈의 소원,(주)까멜리아이엔티,2021,9,19.0,456.0,다큐멘터리,전체관람가,2.4,
팜 스프링스,(주)디스테이션,2021,8,83.0,452.0,코미디,15세이상관람가,6.97,7.25
아버지의 길,(주)엣나인필름,2021,9,34.0,448.0,드라마,12세이상관람가,6.2,
노매드랜드,월트디즈니컴퍼니코리아 유한책임회사,2021,4,181.0,438.0,드라마,12세이상관람가,9.5,4.0
피닉스,M&M 인터내셔널,2021,7,54.0,387.0,드라마,12세이상관람가,8.5,6.0
다크 스펠,주식회사 디에스이이디,2021,9,5.0,360.0,멜로/로맨스,청소년관람불가,7.25,4.0
변신 : 어느날 갑자기,(주)씨네마블랙,2021,9,5.0,340.0,공포(호러),15세이상관람가,7.25,6.0
이스트 워,(주)노바이앤티,2021,9,5.0,309.0,드라마,청소년관람불가,8.22,6.0
언더그라운드,(주)시네마달,2021,8,19.0,303.0,다큐멘터리,12세이상관람가,0.0,4.0
스쿨 아웃 포에버,(주)영화사오원,2021,9,12.0,286.0,코미디,청소년관람불가,7.72,6.0
올리버 색스: 그의 생애,하준사,2021,8,9.0,284.0,다큐멘터리,12세이상관람가,9.0,
아리아 : 디 아베니레,(주)얼리버드픽쳐스,2021,9,5.0,273.0,애니메이션,전체관람가,7.32,6.5
묵향,(주)케빈앤컴퍼니,2021,9,14.0,242.0,공연,전체관람가,7.33,6.5
은혼 더 파이널,워터홀컴퍼니(주),2021,7,170.0,242.0,애니메이션,15세이상관람가,6.0,
귀신,(주)스튜디오 보난자,2021,8,31.0,225.0,공포(호러),청소년관람불가,6.48,6.67
나는 나대로 혼자서 간다,(주)영화사 진진,2021,7,23.0,210.0,드라마,12세이상관람가,7.14,5.0
레커닝,와이드 릴리즈(주),2021,9,5.0,200.0,드라마,청소년관람불가,7.94,6.0
생각의 여름,㈜인디스토리,2021,8,41.0,199.0,드라마,12세이상관람가,6.83,
극장판 도라에몽: 진구의 신공룡,(주)리틀빅픽쳐스,2021,8,502.0,190.0,애니메이션,전체관람가,8.05,6.83
윙스 오버 에베레스트,(주)영화사 안다미로,2021,9,10.0,174.0,액션,15세이상관람가,7.84,7.0
창극 패왕별희,(주)케빈앤컴퍼니,2021,9,15.0,170.0,공연,전체관람가,7.03,5.0
사다코,(주)미디어캐슬,2021,9,5.0,162.0,공포(호러),15세이상관람가,8.53,8.4
블랙핑크 더 무비,씨제이포디플렉스 주식회사,2021,8,147.0,140.0,공연,전체관람가,7.83,5.67
숏버스 감성행,"언더식스티,(주)퍼니콘",2021,8,14.0,126.0,멜로/로맨스,12세이상관람가,7.67,6.5
서유기: 재세요왕,(주)제이앤씨미디어그룹,2021,9,47.0,123.0,애니메이션,전체관람가,8.19,7.14
미씽: 사라진 딸,(주)제이브로,2021,9,5.0,120.0,스릴러,15세이상관람가,6.95,5.0
로스트 인 런던,(주)액티버스엔터테인먼트,2021,9,5.0,100.0,코미디,15세이상관람가,7.19,5.67
섹슈얼 네이처,(주)액티버스엔터테인먼트,2021,9,5.0,100.0,코미디,15세이상관람가,7.61,6.67
스코치드 어스: 분노의 추격자,(주)스튜디오디에이치엘,2021,9,5.0,100.0,액션,15세이상관람가,8.92,7.29
엑소시즘: 악령의 눈동자,(주)알이디아이스엔터,2021,9,5.0,100.0,공포(호러),청소년관람불가,6.79,5.5
작전: 라스트 어썰트,비케이 시네윈,2021,9,5.0,100.0,액션,15세이상관람가,3.57,1.5
갈매기,(주)영화사 진진,2021,7,42.0,91.0,드라마,15세이상관람가,7.94,6.14
이스케이프 룸 2: 노 웨이 아웃,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021,7,728.0,91.0,액션,15세이상관람가,8.34,6.0
크레센도,(주)티캐스트,2021,6,57.0,85.0,드라마,12세이상관람가,7.46,6.0
루카,월트디즈니컴퍼니코리아 유한책임회사,2021,6,856.0,80.0,애니메이션,전체관람가,9.66,
수필러브,주식회사 씨엠닉스,2021,9,1.0,80.0,기타,12세이상관람가,7.16,5.5
숏버스 기묘행,"언더식스티,(주)퍼니콘",2021,9,15.0,72.0,미스터리,15세이상관람가,8.53,6.0
미인도-황제의 시녀,(유)조이앤시네마,2021,9,5.0,71.0,드라마,15세이상관람가,8.41,5.0
캐논볼,(주)이놀미디어,2021,8,12.0,63.0,드라마,12세이상관람가,6.13,4.67
뱅퀴시,(주)까멜리아이엔티,2021,6,48.0,50.0,액션,15세이상관람가,7.73,6.0
"우리, 둘","그린나래미디어(주),(주)버킷스튜디오",2021,7,54.0,49.0,드라마,12세이상관람가,9.25,7.67
위험한 정사 2,(유)조이앤시네마,2021,9,5.0,36.0,미스터리,15세이상관람가,7.88,7.0
러브 스파이: 바브 앤 스타,(주)제이앤씨미디어그룹,2021,9,5.0,35.0,코미디,15세이상관람가,7.9,5.0
잘리카투,주식회사 슈아픽처스,2021,8,45.0,35.0,액션,15세이상관람가,6.81,5.0
오필리아,(주)홈초이스,2021,7,117.0,34.0,멜로/로맨스,15세이상관람가,9.31,5.25
와인 패밀리,해피송,2021,7,35.0,33.0,드라마,12세이상관람가,8.02,8.43
암살자들,"주식회사 왓챠,주식회사 더쿱",2021,8,39.0,27.0,다큐멘터리,15세이상관람가,8.0,6.5
숲의 비명 : 사라진 사람들,(주)트리필름,2021,8,6.0,24.0,공포(호러),15세이상관람가,8.19,7.25
디스 아메리카노,주식회사 씨엠닉스,2021,9,1.0,22.0,드라마,15세이상관람가,6.52,4.5
레드 아워,(주)올스타엔터테인먼트,2021,9,2.0,22.0,액션,15세이상관람가,6.48,
트립 투 그리스,"찬란,하이, 스트레인저",2021,7,48.0,22.0,코미디,15세이상관람가,8.56,6.0
사제로부터 온 편지,(주)드림팩트엔터테인먼트,2021,8,4.0,19.0,다큐멘터리,전체관람가,6.51,6.0
인트로덕션,"(주)영화제작전원사 ,(주)콘텐츠판다",2021,5,91.0,18.0,기타,12세이상관람가,8.45,7.6
금의위-명조자객,(유)조이앤시네마,2021,9,8.0,16.0,액션,15세이상관람가,6.89,7.0
마계대전,(유)조이앤시네마,2021,9,4.0,12.0,드라마,15세이상관람가,8.18,7.33
스왈로 탐험대와 아마존 해적,(주)나이너스엔터테인먼트,2021,9,1.0,10.0,어드벤처,전체관람가,6.41,5.83
우리는 매일매일,㈜인디스토리,2021,6,30.0,10.0,다큐멘터리,12세이상관람가,9.14,
북샵,(주)콘텐츠판다,2021,6,9.0,5.0,드라마,전체관람가,10.0,
마녀의 저주,(유)조이앤시네마,2021,9,2.0,2.0,공포(호러),15세이상관람가,9.1,3.0
맨디 : 귀신들린 인형,(유)조이앤시네마,2021,9,2.0,2.0,공포(호러),15세이상관람가,7.2,5.0
액션히어로,(주)트리플픽쳐스,2021,7,110.0,2.0,액션,12세이상관람가,,8.0
샤먼 로드,강 컨텐츠,2021,7,5.0,1.0,다큐멘터리,12세이상관람가,7.7,
"식물카페, 온정",매치컷(주),2021,6,19.0,1.0,기타,전체관람가,8.5,7.4
워스,(주)홈초이스,2021,7,65.0,1.0,드라마,12세이상관람가,8.29,5.5
헬 아미,(주)알이디아이스엔터,2021,9,1.0,1.0,판타지,15세이상관람가,9.25,5.0
흩어진 밤,영화배급협동조합 씨네소파,2021,6,49.0,1.0,드라마,전체관람가,7.36,7.0
고장난 론,월트디즈니컴퍼니코리아 유한책임회사,2021,10,904.0,,애니메이션,전체관람가,8.12,6.0
극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,(주)씨제이이엔엠,2021,9,593.0,,애니메이션,전체관람가,7.41,6.0
용과 주근깨 공주,와이드 릴리즈(주),2021,9,216.0,,애니메이션,전체관람가,5.38,5.0
라스트 듀얼: 최후의 결투,월트디즈니컴퍼니코리아 유한책임회사,2021,10,367.0,,액션,청소년관람불가,6.35,
"극장판 포켓몬스터: 정글의 아이, 코코",(주)넥스트엔터테인먼트월드(NEW),2021,9,699.0,,애니메이션,전체관람가,5.52,5.5
노회찬6411,"(주)리틀빅픽쳐스,시네마6411",2021,10,154.0,,다큐멘터리,12세이상관람가,9.26,4.0
F20,와이드 릴리즈(주),2021,10,218.0,,스릴러,15세이상관람가,7.64,6.0
수색자,(주)콘텐츠판다,2021,9,218.0,,스릴러,15세이상관람가,7.47,7.0
아네트,"그린나래미디어(주),주식회사 왓챠",2021,10,330.0,,드라마,15세이상관람가,8.89,6.0
스틸워터,씨제이 씨지브이(CJ CGV)(주),2021,10,363.0,,범죄,15세이상관람가,6.81,4.0
애프터: 관계의 함정,판씨네마(주),2021,10,378.0,,멜로/로맨스,15세이상관람가,7.65,7.0
쁘띠 마망,찬란,2021,10,97.0,,드라마,전체관람가,8.17,6.0
십개월의 미래,그린나래미디어(주),2021,10,158.0,,드라마,12세이상관람가,7.88,6.5
바다 탐험대 옥토넛 : 육지수호 대작전,와이드 릴리즈(주),2021,10,205.0,,애니메이션,전체관람가,8.06,5.8
화이트데이: 부서진 결계,(주)제이앤씨미디어그룹,2021,10,356.0,,공포(호러),15세이상관람가,8.15,6.56
타다: 대한민국 스타트업의 초상,(주)넥스트엔터테인먼트월드(NEW),2021,10,73.0,,다큐멘터리,전체관람가,7.32,7.67
매직 스쿨: 초보마법사 아우라의 대모험,(주)디스테이션,2021,10,212.0,,애니메이션,전체관람가,7.96,6.43
코다,판씨네마(주),2021,8,308.0,,드라마,12세이상관람가,8.25,6.0
동백,시네마 뉴원,2021,10,60.0,,드라마,12세이상관람가,9.25,6.0
첫눈이 사라졌다,(주)다자인소프트,2021,10,66.0,,판타지,15세이상관람가,,
스페이스 독 3: 트로피컬 어드벤처,(주)박수엔터테인먼트,2021,10,172.0,,애니메이션,전체관람가,8.68,7.2
한창나이 선녀님,(주)트리플픽쳐스,2021,10,74.0,,다큐멘터리,전체관람가,7.05,5.0
휴가,㈜인디스토리,2021,10,55.0,,드라마,12세이상관람가,3.5,
당신은 믿지 않겠지만,(주)디오시네마,2021,10,100.0,,드라마,12세이상관람가,4.0,4.0
스피릿,유니버설픽쳐스인터내셔널 코리아(유),2021,9,138.0,,애니메이션,전체관람가,5.59,3.5
부니베어: 애들이 줄었어요,(주)라이크콘텐츠,2021,10,154.0,,애니메이션,전체관람가,7.04,5.0
그림자꽃,(주)엣나인필름,2021,10,89.0,,다큐멘터리,12세이상관람가,0.0,
할로윈 킬즈,유니버설픽쳐스인터내셔널 코리아(유),2021,10,43.0,,공포(호러),청소년관람불가,8.9,6.0
당신얼굴 앞에서,"(주)영화제작전원사 ,(주)콘텐츠판다",2021,10,69.0,,드라마,15세이상관람가,7.88,
아버지의 길,(주)엣나인필름,2021,9,34.0,,드라마,12세이상관람가,9.33,
푸른 호수,유니버설픽쳐스인터내셔널 코리아(유),2021,10,139.0,,드라마,12세이상관람가,10.0,
실: 인연의 시작,(주)디스테이션,2021,10,74.0,,드라마,12세이상관람가,9.5,6.0
브라더,(주)박수엔터테인먼트,2021,10,131.0,,범죄,15세이상관람가,8.25,4.0
뱅드림! 로젤리아 에피소드 Ⅱ : 송 아이 엠,(주)애니플러스,2021,9,86.0,,애니메이션,전체관람가,8.8,8.43
캔디맨,유니버설픽쳐스인터내셔널 코리아(유),2021,9,608.0,,미스터리,15세이상관람가,2.25,2.33
미켈란젤로,(주)퍼스트런,2021,9,20.0,,드라마,12세이상관람가,7.32,6.67
피어썸,(주)스토리제이,2021,10,45.0,,공포(호러),15세이상관람가,,
프리 가이,월트디즈니컴퍼니코리아 유한책임회사,2021,8,750.0,,액션,12세이상관람가,6.48,4.5
귀문,"씨제이 씨지브이(CJ CGV)(주),(주)씨네필운",2021,8,692.0,,미스터리,15세이상관람가,8.0,7.0
킬링 오브 투 러버스,(주)영화특별시에스엠씨,2021,10,49.0,,멜로/로맨스,12세이상관람가,7.55,
레드 아워,(주)올스타엔터테인먼트,2021,9,2.0,,액션,15세이상관람가,1.0,
졸트,(주)제이앤씨미디어그룹,2021,10,83.0,,액션,15세이상관람가,9.13,
아임 유어 맨,(주)라이크콘텐츠,2021,9,38.0,,코미디,15세이상관람가,6.53,5.0
다함께 여름!,M&M 인터내셔널,2021,10,27.0,,코미디,12세이상관람가,7.45,5.0
영화의 거리,영화배급협동조합 씨네소파,2021,9,26.0,,멜로/로맨스,12세이상관람가,7.65,5.5
종착역,필름다빈,2021,9,49.0,,드라마,전체관람가,5.75,
좋은 사람,"(주)싸이더스,찬란",2021,9,140.0,,미스터리,12세이상관람가,9.4,
올드,유니버설픽쳐스인터내셔널 코리아(유),2021,8,550.0,,공포(호러),12세이상관람가,7.25,6.0
더 하더 데이 폴,씨제이 씨지브이(CJ CGV)(주),2021,10,56.0,,액션,청소년관람불가,9.0,7.33
컴백트레일,(주)누리픽쳐스,2021,10,20.0,,코미디,15세이상관람가,,
여름날 우리,"찬란,메가박스중앙(주)",2021,8,262.0,,코미디,12세이상관람가,6.0,
최선의 삶,(주)엣나인필름,2021,9,101.0,,드라마,15세이상관람가,5.44,6.0
가치 캅시다,(주)스튜디오 보난자,2021,10,43.0,,드라마,15세이상관람가,0.0,4.0
코끼리와 나비,(주)스튜디오 보난자,2021,9,27.0,,드라마,전체관람가,,
바바리안,(주)누리픽쳐스,2021,10,50.0,,드라마,15세이상관람가,8.0,8.4
극장판 도라에몽: 진구의 신공룡,(주)리틀빅픽쳐스,2021,8,502.0,969.0,애니메이션,전체관람가,9.71,6.0
경고,(주)태양미디어그룹,2021,10,42.0,957.0,공포(호러),15세이상관람가,7.23,6.0
윙스 오버 에베레스트,(주)영화사 안다미로,2021,9,10.0,937.0,액션,15세이상관람가,8.65,6.6
보이 비하인드 도어,(주)영화사 안다미로,2021,10,5.0,861.0,공포(호러),청소년관람불가,9.17,4.0
학교 가는 길,(주)영화사 진진,2021,5,90.0,859.0,다큐멘터리,12세이상관람가,5.5,
아-하: 테이크 온 미,주식회사 컨텐츠썬,2021,9,53.0,852.0,다큐멘터리,12세이상관람가,8.36,7.0
퍼펙트 스틸,(주)팝엔터테인먼트,2021,10,66.0,846.0,범죄,15세이상관람가,6.0,
건파우더 밀크셰이크,(주)씨제이이엔엠,2021,9,542.0,821.0,액션,청소년관람불가,6.67,6.25
가족의 색깔,(주)영화사 진진,2021,10,20.0,806.0,드라마,전체관람가,7.42,6.0
뫼비우스,주식회사 씨엠닉스,2021,10,1.0,734.0,드라마,12세이상관람가,8.74,6.67
토베 얀손,(주)영화사 진진,2021,9,38.0,728.0,드라마,15세이상관람가,7.17,6.22
사상,(주)시네마달,2021,10,16.0,623.0,다큐멘터리,12세이상관람가,7.71,7.17
극장판 마이 리틀 포니: 새로운 희망,(주)박수엔터테인먼트,2021,9,155.0,552.0,애니메이션,전체관람가,7.59,6.0
숏버스 기묘행,"언더식스티,(주)퍼니콘",2021,9,15.0,551.0,미스터리,15세이상관람가,7.68,5.67
구원받은 도둑,(주)누리픽쳐스,2021,10,50.0,550.0,드라마,12세이상관람가,6.33,6.0
쇼미더고스트,㈜인디스토리,2021,9,43.0,505.0,코미디,12세이상관람가,0.0,
서유기: 재세요왕,(주)제이앤씨미디어그룹,2021,9,47.0,478.0,애니메이션,전체관람가,6.97,7.25
퍼피 구조대 더 무비,롯데컬처웍스(주)롯데엔터테인먼트,2021,8,355.0,434.0,애니메이션,전체관람가,7.54,5.0
아들의 이름으로,(주)엣나인필름,2021,5,423.0,424.0,드라마,12세이상관람가,7.67,6.0
바람아 안개를 걷어가다오,(주)모쿠슈라,2021,10,22.0,410.0,드라마,12세이상관람가,8.17,5.0
나의 흑역사 로맨티카,"그린나래미디어(주),(주)인터파크",2021,9,41.0,407.0,멜로/로맨스,12세이상관람가,3.19,
울림의 탄생,영화배급협동조합 씨네소파,2021,10,7.0,405.0,다큐멘터리,전체관람가,6.83,5.5
노매드랜드,월트디즈니컴퍼니코리아 유한책임회사,2021,4,181.0,382.0,드라마,12세이상관람가,1.33,
말리그넌트,워너브러더스 코리아(주),2021,9,489.0,364.0,스릴러,청소년관람불가,6.75,5.67
피닉스,M&M 인터내셔널,2021,7,54.0,314.0,드라마,12세이상관람가,9.78,6.5
그린 나이트,(주)팝엔터테인먼트,2021,8,235.0,301.0,어드벤처,15세이상관람가,7.53,4.0
마를린,주식회사 콘텐츠플레이,2021,10,5.0,280.0,액션,청소년관람불가,2.4,
보는 것을 사랑한다,(주)드림팩트엔터테인먼트,2021,10,8.0,265.0,다큐멘터리,전체관람가,9.0,9.33
어시스턴트,(주)이놀미디어,2021,9,28.0,252.0,드라마,12세이상관람가,7.99,6.67
꽃다발 같은 사랑을 했다,"(주)리틀빅픽쳐스,(주)레드로버",2021,7,198.0,229.0,멜로/로맨스,12세이상관람가,6.98,7.9
갈매기,(주)영화사 진진,2021,7,42.0,193.0,드라마,15세이상관람가,7.83,5.67
