영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점
사랑하는 기생충,(주)미디어캐슬,2024,1,7,187.0,드라마,12세이상관람가,8.65,6.0
로보카폴리 안전교실 교통편,(주)로이비쥬얼,2022,9,16,184.0,애니메이션,전체관람가,8.15,6.56
어파이어,M&M 인터내셔널,2023,9,68,180.0,드라마,12세이상관람가,8.43,
괴인,(주)영화사 진진,2023,11,79,160.0,드라마,15세이상관람가,6.62,6.0
매직 프린세스: 얼음 괴물과 사라진 열쇠의 비밀,(주)박수엔터테인먼트,2023,12,162,156.0,애니메이션,전체관람가,6.86,6.0
이빨요정 비올레타: 요정나라로 돌아갈래!,TCO(주)더콘텐츠온,2023,11,298,136.0,애니메이션,전체관람가,6.32,
서치: 데스게임,주식회사 원더스튜디오,2024,1,5,126.0,스릴러,청소년관람불가,6.98,6.4
극장판 우당탕탕 은하안전단: 진정한 용기!,(주)넥스트엔터테인먼트월드(NEW),2023,11,261,123.0,애니메이션,전체관람가,6.75,4.25
프레디의 피자가게,유니버설픽쳐스인터내셔널 코리아(유),2023,11,1041,120.0,공포(호러),12세이상관람가,6.89,4.0
홈그라운드,영화배급협동조합 씨네소파,2023,12,35,112.0,다큐멘터리,12세이상관람가,8.02,8.2
엔시티 네이션 : 투 더 월드 인 시네마,씨제이포디플렉스 주식회사,2023,12,87,110.0,공연,전체관람가,8.33,6.0
아마존: 더 비기닝,(주)누리픽쳐스,2024,1,5,101.0,드라마,12세이상관람가,9.47,
물비늘,㈜인디스토리,2023,12,18,98.0,드라마,12세이상관람가,8.88,6.0
붉은 장미의 추억,(주)프로젝트42,2023,11,5,80.0,드라마,12세이상관람가,,5.5
헝거게임: 노래하는 새와 뱀의 발라드,(주)누리픽쳐스,2023,11,986,79.0,액션,15세이상관람가,7.73,6.5
마이 샤이니 월드,메가박스중앙(주),2023,11,118,78.0,공연,전체관람가,6.53,7.52
히즈,(주)태양미디어그룹,2024,1,5,78.0,드라마,12세이상관람가,7.54,6.0
너는 내 아들,"주식회사 블루필름웍스,(주)버킷스튜디오",2023,6,117,72.0,드라마,12세이상관람가,6.82,
르네에게,"(주)드림팩트엔터테인먼트,(주)빅브라더스",2023,12,13,68.0,드라마,12세이상관람가,9.13,
"타르콥스키, 기도하는 영혼",(주)와우,2024,1,9,61.0,다큐멘터리,12세이상관람가,5.63,
엘리자벳과 나,(주)영화사 안다미로,2023,12,23,58.0,드라마,15세이상관람가,8.0,4.0
1947 보스톤,"롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트",2023,9,1282,51.0,드라마,12세이상관람가,8.23,6.33
빅슬립,찬란,2023,11,61,46.0,드라마,15세이상관람가,8.8,8.43
바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지 넘어 하늘까지!,와이드 릴리즈(주),2023,8,245,43.0,애니메이션,전체관람가,8.81,7.5
우리 돈 벌레,㈜스토리셋,2023,12,5,39.0,코미디,12세이상관람가,7.0,6.33
키리에의 노래: 디렉터스 컷,이화배컴퍼니(주),2023,11,9,39.0,드라마,15세이상관람가,7.1,7.2
절해고도,"아이 엠,무브먼트",2023,9,36,34.0,드라마,12세이상관람가,7.25,
언더 유어 베드,(주)트리플픽쳐스,2023,12,54,32.0,스릴러,청소년관람불가,8.61,6.0
마에스트로 번스타인,씨제이 씨지브이(CJ CGV)(주),2023,12,61,30.0,드라마,15세이상관람가,9.54,8.4
웨스턴 프론트: 서부전선,주식회사 풍경소리,2023,12,5,26.0,전쟁,15세이상관람가,,8.6
룩앳미 터치미 키스미,시네마 뉴원,2023,12,7,19.0,멜로/로맨스,15세이상관람가,7.75,7.0
만분의 일초,(주)더쿱디스트리뷰션,2023,11,74,19.0,액션,12세이상관람가,5.66,4.0
머릿속을,하준사,2024,1,5,18.0,드라마,12세이상관람가,,4.5
파묘,(주)쇼박스,2024,2,2355,3697250.0,미스터리,15세이상관람가,8.08,6.67
웡카,워너브러더스 코리아(주),2024,1,1753,2943400.0,판타지,전체관람가,8.98,8.73
시민덕희,(주)쇼박스,2024,1,1272,1038456.0,드라마,15세이상관람가,7.85,6.67
건국전쟁,다큐스토리,2024,2,224,1031018.0,다큐멘터리,12세이상관람가,7.0,
"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",씨제이 씨지브이(CJ CGV)(주),2024,2,393,426871.0,애니메이션,15세이상관람가,9.29,4.0
도그데이즈,(주)씨제이이엔엠,2024,2,847,356139.0,드라마,12세이상관람가,3.5,
소풍,롯데컬처웍스(주)롯데엔터테인먼트,2024,2,729,312731.0,드라마,12세이상관람가,7.4,4.0
듄: 파트2,워너브러더스 코리아(주),2024,2,1544,268510.0,액션,12세이상관람가,7.62,
데드맨,플러스엠 엔터테인먼트,2024,2,800,236624.0,범죄,15세이상관람가,7.89,6.0
아가일,유니버설픽쳐스인터내셔널 코리아(유),2024,2,841,138833.0,액션,12세이상관람가,8.1,7.67
아기상어 극장판: 사이렌 스톤의 비밀,(주)넥스트엔터테인먼트월드(NEW),2024,2,578,99452.0,애니메이션,전체관람가,7.81,6.0
외계+인 2부,(주)씨제이이엔엠,2024,1,1390,80347.0,기타,12세이상관람가,7.96,5.5
추락의 해부,(주)스튜디오디에이치엘,2024,1,236,72886.0,드라마,15세이상관람가,7.3,8.17
서울의 봄,플러스엠 엔터테인먼트,2023,11,2328,64667.0,드라마,12세이상관람가,8.38,7.5
정글번치: 월드투어,(주)무비다이브,2024,1,193,49908.0,애니메이션,전체관람가,7.62,7.57
위시,월트디즈니컴퍼니코리아 유한책임회사,2024,1,1421,46801.0,애니메이션,전체관람가,7.0,5.33
사운드 오브 프리덤,(주)넥스트엔터테인먼트월드(NEW),2024,2,248,38674.0,범죄,15세이상관람가,6.13,4.5
괴물,(주)넥스트엔터테인먼트월드(NEW),2023,11,647,33440.0,드라마,12세이상관람가,,
인투 더 월드,유니버설픽쳐스인터내셔널 코리아(유),2024,1,839,32074.0,애니메이션,전체관람가,7.88,6.67
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,(주)씨제이이엔엠,2023,12,883,26362.0,애니메이션,전체관람가,8.73,
DMZ 동물 특공대,(주)박수엔터테인먼트,2024,2,201,21445.0,애니메이션,전체관람가,7.75,6.0
바튼 아카데미,유니버설픽쳐스인터내셔널 코리아(유),2024,2,254,21229.0,코미디,15세이상관람가,,
스노우 퍼핀즈,(주)팝엔터테인먼트,2024,2,315,20478.0,애니메이션,전체관람가,7.5,
청춘 돼지는 책가방 소녀의 꿈을 꾸지 않는다,(주)애니플러스,2024,2,84,18409.0,애니메이션,12세이상관람가,7.75,5.5
우견니,"오드,홀리가든",2024,2,143,17667.0,멜로/로맨스,12세이상관람가,7.07,6.67
기적의 시작,퓨어웨이픽쳐스,2024,2,137,15220.0,다큐멘터리,12세이상관람가,8.07,6.8
비욘드 유토피아,"(주)홈초이스,(주)드림팩트엔터테인먼트,(주)스마일이엔티",2024,1,158,12619.0,다큐멘터리,12세이상관람가,8.5,7.0
월레스와 그로밋 더 클래식 컬렉션,CGV ICECON,2024,2,52,12075.0,애니메이션,전체관람가,,
극장판 츠루네: 시작의 한 발,(주)라이크콘텐츠,2024,2,119,12039.0,애니메이션,전체관람가,8.83,7.5
노량: 죽음의 바다,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스",2023,12,2196,11890.0,사극,12세이상관람가,8.67,8.0
길위에 김대중,"(주)아이오케이컴퍼니,(주)명필름,(주)시네마6411",2024,1,414,11356.0,다큐멘터리,12세이상관람가,8.47,
플랜 75,찬란,2024,2,50,11217.0,드라마,15세이상관람가,4.33,
지오디 마스터피스 더 무비,씨제이 씨지브이(CJ CGV)(주),2024,1,75,9675.0,공연,전체관람가,7.75,5.0
에스파: 마이 퍼스트 페이지,"롯데컬처웍스(주)롯시플,(주)영화사 그램",2024,2,68,9024.0,공연,전체관람가,4.91,
아네모네,㈜인디스토리,2024,2,57,7645.0,코미디,15세이상관람가,8.01,7.0
나의 올드 오크,(주)영화사 진진,2024,1,83,7218.0,드라마,15세이상관람가,7.93,8.0
