NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
15,세븐틴 파워 오브 러브 : 더 무비,오윤동,씨제이포디플렉스 주식회사,,"씨제이포디플렉스 주식회사,CGV ICECON",2022-04-,개봉영화,장편,한국,151,,,,,공연,전체관람가,일반영화
16,더 배트맨,맷 리브스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-03-,개봉영화,장편,미국,,,,,,액션,15세이상관람가,일반영화
17,봄날,이돈구,(주)엠씨엠씨,,(주)콘텐츠판다,2022-04-,개봉영화,장편,한국,455,,,,,드라마,15세이상관람가,독립/예술영화
18,배니싱: 미제사건,드니 데르쿠르,,(유)조이앤시네마,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",2022-03-,개봉영화,장편,프랑스,561,,,,,범죄,15세이상관람가,일반영화
19,말임씨를 부탁해,박경목,"(주)파란오이,안목",,(주)씨네필운,2022-04-,개봉영화,장편,한국,197,,,,,드라마,전체관람가,독립/예술영화
20,불도저에 탄 소녀,박이웅,(주)고집스튜디오,,트윈플러스파트너스(주),2022-04-,개봉영화,장편,한국,203,,,,,드라마,15세이상관람가,독립/예술영화
21,스펜서,파블로 라라인,,그린나래미디어(주),"(주)영화특별시에스엠씨,그린나래미디어(주)",2022-03-,개봉영화,장편,영국,730,,,,,드라마,12세이상관람가,독립/예술영화
22,극장판 시그널,하시모토 하지메,,(주)미디어캐슬,트윈플러스파트너스(주),2022-03-,개봉영화,장편,일본,90,,,,,드라마,12세이상관람가,독립/예술영화
23,코다,션 헤이더,,판씨네마(주),판씨네마(주),2021-08-,개봉영화,장편,프랑스,308,,,,,드라마,12세이상관람가,독립/예술영화
24,몬스터 아카데미,레오폴도 아귈라,,와이드 릴리즈(주),와이드 릴리즈(주),2022-04-,개봉영화,장편,기타,209,,,,,판타지,전체관람가,일반영화
25,패러렐 마더스,페드로 알모도바르,,찬란,(주)스튜디오디에이치엘,2022-03-,개봉영화,장편,스페인,88,,,,,멜로/로맨스,15세이상관람가,독립/예술영화
26,소설가의 영화,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)콘텐츠판다",2022-04-,개봉영화,장편,한국,66,,,,,드라마,12세이상관람가,독립/예술영화
27,뱅드림! 팝핀' 드림!,카키모토 코다이,,(주)애니플러스,(주)애니플러스,2022-03-,개봉영화,장편,일본,105,,,,,애니메이션,전체관람가,일반영화
28,쓰리: 아직 끝나지 않았다,박루슬란,아슬란필름,,필름다빈,2022-04-,개봉영화,장편,한국,77,,,,,드라마,15세이상관람가,독립/예술영화
29,해적: 도깨비 깃발,김정훈,"(주)어뉴,오스카10스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2022-01-,개봉영화,장편,한국,,,,,,어드벤처,12세이상관람가,일반영화
30,문폴,롤랜드 에머리히,,(주)누리픽쳐스,(주)누리픽쳐스,2022-03-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
31,로망스 돌,타나다 유키,,(주)미디어캐슬,(주)미디어캐슬,2022-04-,개봉영화,장편,일본,7,,,,,멜로/로맨스,청소년관람불가,독립/예술영화
32,쿠폰의 여왕,아론 고뎃,,주식회사 왓챠,"(주)영화특별시에스엠씨,주식회사 왓챠",2022-04-,개봉영화,장편,미국,180,,,,,코미디,15세이상관람가,일반영화
33,드라이브 마이 카,하마구치 류스케,,"(주)영화사조아,(주)트리플픽쳐스",(주)트리플픽쳐스,2021-12-,개봉영화,장편,일본,69,,,,,드라마,15세이상관람가,독립/예술영화
34,오늘부터 우리는!!,후쿠다 유이치,,(주)미디어캐슬,(주)미디어캐슬,2022-04-,개봉영화,장편,일본,21,,,,,코미디,15세이상관람가,일반영화
35,인민을 위해 복무하라,장철수,"주식회사 표범영화사,(유)조이앤시네마",,(주)제이앤씨미디어그룹,2022-02-,개봉영화,장편,한국,598,,,,,멜로/로맨스,청소년관람불가,일반영화
36,드라이,로버트 코놀리,,(주)영화사 진진,(주)영화사 진진,2022-03-,개봉영화,장편,호주,110,,,,,미스터리,15세이상관람가,독립/예술영화
37,복지식당,"정재익,서태수",제주에스엘(주),,㈜인디스토리,2022-04-,개봉영화,장편,한국,53,,,,,드라마,12세이상관람가,독립/예술영화
38,태어나길 잘했어,최진영,대장정,,그린나래미디어(주),2022-04-,개봉영화,장편,한국,50,,,,,드라마,12세이상관람가,독립/예술영화
39,더 컨트랙터,타릭 살레,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2022-04-,개봉영화,장편,미국,161,,,,,액션,15세이상관람가,일반영화
40,메리 미,캣 코이로,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-03-,개봉영화,장편,미국,179,,,,,멜로/로맨스,12세이상관람가,일반영화
41,B컷,김진영,"(주)영화사 필,TCO(주)더콘텐츠온",,TCO(주)더콘텐츠온,2022-03-,개봉영화,장편,한국,84,,,,,범죄,청소년관람불가,일반영화
42,약속의 네버랜드,히라카와 유이치로,,(주)엔케이컨텐츠,(주)디스테이션,2022-04-,개봉영화,장편,일본,59,,,,,판타지,12세이상관람가,독립/예술영화
43,시라노,조 라이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-02-,개봉영화,장편,미국,195,,,,,멜로/로맨스,12세이상관람가,일반영화
44,4월은 너의 거짓말,신조 타케히코,,(주)에이원엔터테인먼트,(주)팝엔터테인먼트,2022-04-,개봉영화,장편,일본,109,,,,,멜로/로맨스,전체관람가,일반영화
45,킹 리차드,레이날도 마르쿠스 그린,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-03-,개봉영화,장편,미국,156,,,,,가족,12세이상관람가,일반영화
46,벨파스트,케네스 브래너,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-03-,개봉영화,장편,미국,272,,,,,드라마,12세이상관람가,독립/예술영화
47,사랑 후의 두 여자,,,판씨네마(주),판씨네마(주),2022-03-,개봉영화,장편,영국,55,,,,,드라마,15세이상관람가,독립/예술영화
48,뮤지컬 킹키부츠 라이브,브렛 설리반,,(주)씨제이이엔엠,CGV ICECON,2022-04-,개봉영화,장편,영국,47,,,,,공연,12세이상관람가,일반영화
49,재춘언니,이수정,생의 한가운데,,(주)시네마달,2022-03-,개봉영화,장편,한국,44,,,,,다큐멘터리,12세이상관람가,독립/예술영화
50,내가 처음으로 사랑한 소녀,,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2022-04-,개봉영화,장편,홍콩,68,,,,,멜로/로맨스,15세이상관람가,독립/예술영화
51,"위대한 계약: 파주, 책, 도시","김종신,정다운",기린그림,,(주)영화사 진진,2022-04-,개봉영화,장편,한국,30,,,,,다큐멘터리,전체관람가,독립/예술영화
52,극장판 금빛 모자이크 땡큐!!,,,(주)퍼스트런,메가박스중앙(주),2022-03-,개봉영화,장편,일본,60,,,,,애니메이션,전체관람가,일반영화
53,355,사이먼 킨버그,,(유)조이앤시네마,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",2022-02-,개봉영화,장편,미국,540,,,,,액션,15세이상관람가,일반영화
54,하빗,,,(주)케이티알파,(주)케이티알파,2022-04-,개봉영화,장편,미국,50,,,,,기타,청소년관람불가,일반영화
55,열대왕사,샤이페이 웬,,(주)싸이더스,(주)싸이더스,2022-04-,개봉영화,장편,중국,25,,,,,범죄,15세이상관람가,독립/예술영화
56,그리스도 디 오리진,,,"주식회사 풍경소리,(주)타임앤드스페이스",(주)까멜리아이엔티,2022-04-,개봉영화,장편,기타,71,,,,912,드라마,12세이상관람가,독립/예술영화
57,청킹맨션,,,(주)케이티알파,(주)케이티알파,2022-04-,개봉영화,장편,홍콩,50,,,,870,액션,15세이상관람가,일반영화
58,광대: 소리꾼,조정래,주식회사 제이오엔터테인먼트코리아,,트윈플러스파트너스(주),2022-02-,개봉영화,장편,한국,116,,,,,사극,12세이상관람가,일반영화
59,리디밍 러브,D.J. 카루소,,"주식회사 풍경소리,(주)타임앤드스페이스",(주)까멜리아이엔티,2022-03-,개봉영화,장편,미국,118,,,,,멜로/로맨스,15세이상관람가,일반영화
60,나의 집은 어디인가,,,,주식회사 왓챠,2022-04-,개봉영화,장편,기타,34,,,,963,다큐멘터리,12세이상관람가,독립/예술영화
61,우리가 사랑이라고 믿는 것,윌리엄 니콜슨,,(주)티캐스트,(주)티캐스트,2022-02-,개봉영화,장편,영국,44,,,,,드라마,12세이상관람가,독립/예술영화
62,안테벨룸,"제라드 부시,크리스토퍼 렌즈",,(주)올스타엔터테인먼트,(주)올스타엔터테인먼트,2022-02-,개봉영화,장편,미국,638,,,,,미스터리,15세이상관람가,독립/예술영화
63,역할들,연송하,쉼표,,쉼표,2022-03-,개봉영화,장편,한국,5,,,,552,드라마,12세이상관람가,독립/예술영화
64,만년이 지나도 변하지 않는 게 있어,구파도,,(주)영화사벌집,"그린나래미디어(주),(주)영화사벌집",2022-02-,개봉영화,장편,대만,297,,,,884,멜로/로맨스,12세이상관람가,독립/예술영화
65,스파이더맨: 노 웨이 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12-,개봉영화,장편,미국,,,,,364,액션,12세이상관람가,일반영화
66,고스팅 글로리아,,,(주)블루라벨픽쳐스,(주)블루라벨픽쳐스,2022-04-,개봉영화,장편,우루과이,20,,,,,멜로/로맨스,15세이상관람가,독립/예술영화
67,블랙라이트,마크 윌리엄스,,(주)퍼스트런,(주)퍼스트런,2022-03-,개봉영화,장편,미국,521,,,,,액션,15세이상관람가,일반영화
68,아메리칸 저스티스,,,(주)누리픽쳐스,(주)누리픽쳐스,2022-04-,개봉영화,장편,미국,50,,,,120,액션,15세이상관람가,일반영화
69,부기나이트,김경엽,(주)콘텐츠지,,(주)라온컴퍼니플러스,2022-04-,개봉영화,장편,한국,23,,,,722,코미디,15세이상관람가,일반영화
70,나의 촛불,"김의성,주진우",주기자 유한회사,,트윈플러스파트너스(주),2022-02-,개봉영화,장편,한국,294,,,,599,다큐멘터리,전체관람가,독립/예술영화
71,나일 강의 죽음,케네스 브래너,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-02-,개봉영화,장편,미국,,,,,395,범죄,12세이상관람가,일반영화
