영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점,평균평점,계절,장르2,등급_le,관람객수_le,계절_le,관객수_등급
소설의 신,(주)미디어캐슬,2022,5,3.0,5190.17041015625,드라마,12세이상관람가,0.0,5.0,2.5,1,2,0,1389,0,4
크로스 더 라인,(주)영화사오원,2022,5,34.0,14459.5556640625,스릴러,청소년관람불가,6.92,5.33,6.125,1,7,3,1645,0,4
모비우스,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022,3,63.0,26405.654296875,액션,15세이상관람가,6.76,5.5,6.13,1,1,1,1764,0,5
파리의 피아니스트: 후지코 헤밍의 시간들,(주)엣나인필름,2022,4,17.0,2159.7333984375,다큐멘터리,전체관람가,7.6,5.0,6.3,1,8,2,1111,0,4
메리 미,유니버설픽쳐스인터내셔널 코리아(유),2022,3,179.0,2297.315673828125,멜로/로맨스,12세이상관람가,10.0,7.2,8.6,1,3,0,1131,0,4
스펜서,"(주)영화특별시에스엠씨,그린나래미디어(주)",2022,3,730.0,14473.5244140625,드라마,12세이상관람가,7.8,5.5,6.65,1,2,0,1646,0,4
"위대한 계약: 파주, 책, 도시",(주)영화사 진진,2022,4,30.0,2159.7333984375,다큐멘터리,전체관람가,8.36,5.761428571428572,7.060714285714285,1,8,2,1111,0,4
데드캠핑 더라이브,"(주)그노스,(주)다날엔터테인먼트",2022,5,50.0,975.0,스릴러,청소년관람불가,5.22,6.33,5.775,1,7,3,852,0,3
코다,판씨네마(주),2021,8,308.0,939.0,드라마,12세이상관람가,7.315434782608696,6.048461538461538,6.681948160535117,2,2,0,834,1,3
"허황옥 3일, 잃어버린 2천 년의 기억",(주)영화사 그램,2022,5,21.0,783.0,다큐멘터리,전체관람가,0.0,5.5,2.75,1,8,2,720,0,3
태어나길 잘했어,그린나래미디어(주),2022,4,50.0,715.0,드라마,12세이상관람가,7.43,7.0,7.215,1,2,0,669,0,3
로망스 돌,(주)미디어캐슬,2022,4,7.0,676.0,멜로/로맨스,청소년관람불가,7.5,6.0,6.75,1,3,3,637,0,3
허셀프,(주)드림팩트엔터테인먼트,2022,5,23.0,646.0,드라마,15세이상관람가,8.29,5.5,6.895,1,2,1,611,0,3
평평남녀,영화배급협동조합 씨네소파,2022,4,30.0,596.0,드라마,12세이상관람가,6.0,6.67,6.335,1,2,0,571,0,3
영희,주식회사 씨엠닉스,2022,5,4.0,578.0,코미디,15세이상관람가,6.58,7.0,6.79,1,6,1,557,0,3
재춘언니,(주)시네마달,2022,3,44.0,531.0,다큐멘터리,12세이상관람가,7.0,6.3596551724137935,6.679827586206897,1,8,0,528,0,3
뱅드림! 팝핀' 드림!,(주)애니플러스,2022,3,105.0,511.0,애니메이션,전체관람가,8.88,6.5,7.69,1,0,2,510,0,3
늑대들,(주)트리필름,2022,4,29.0,510.0,액션,청소년관람불가,7.0,5.746956521739131,6.3734782608695655,1,1,3,509,0,3
해피 데스나이트,(유)조이앤시네마,2022,5,50.0,506.0,공포(호러),15세이상관람가,1.0,8.0,4.5,1,5,1,505,0,3
그날,즐감,2022,5,50.0,500.0,공포(호러),15세이상관람가,5.671764705882353,7.5,6.5858823529411765,1,5,1,499,0,3
열대왕사,(주)싸이더스,2022,4,25.0,456.0,범죄,15세이상관람가,6.27,6.4,6.335,1,4,1,460,0,3
태일이,(주)리틀빅픽쳐스,2021,12,458.0,439.0,애니메이션,전체관람가,8.45,8.5,8.475,4,0,2,444,3,3
드라이브 마이 카,(주)트리플픽쳐스,2021,12,69.0,402.0,드라마,15세이상관람가,8.68,5.0,6.84,4,2,1,408,3,2
액션동자,(주)드림팩트엔터테인먼트,2022,5,9.0,374.0,액션,전체관람가,8.93,6.261351351351351,7.595675675675675,1,1,2,380,0,2
역할들,쉼표,2022,3,5.0,311.0,드라마,12세이상관람가,8.64,5.67,7.155,1,2,0,322,0,2
씽2게더,유니버설픽쳐스인터내셔널 코리아(유),2022,1,63.0,302.0,애니메이션,전체관람가,8.8,6.281282051282052,7.540641025641026,4,0,2,311,3,2
